epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,11829.6,0.59318,0.31882,0.85468,0.91698,0.83479,0.88371,0.6723,0.46649,0.26401,0.81925,0.005875,0.005875,0.005875
127,11925.3,0.5915,0.31885,0.85427,0.91703,0.83447,0.88408,0.67265,0.46621,0.2639,0.81917,0.005842,0.005842,0.005842
128,12020.8,0.58461,0.31552,0.85142,0.91765,0.83392,0.88409,0.67314,0.46589,0.26356,0.81907,0.005809,0.005809,0.005809
129,12116.6,0.58655,0.31671,0.85092,0.91774,0.83496,0.88401,0.67332,0.46552,0.26353,0.81898,0.005776,0.005776,0.005776
130,12212.4,0.58206,0.31404,0.85302,0.91839,0.8346,0.88569,0.67373,0.46529,0.26307,0.81891,0.005743,0.005743,0.005743
131,12308.2,0.58445,0.31446,0.85282,0.91783,0.83443,0.88525,0.67455,0.46497,0.26296,0.81882,0.00571,0.00571,0.00571
132,12404.1,0.5808,0.31347,0.85099,0.92139,0.83433,0.88663,0.67505,0.46463,0.26299,0.8187,0.005677,0.005677,0.005677
133,12500.1,0.5803,0.31335,0.85195,0.92117,0.83423,0.88699,0.67582,0.46424,0.26285,0.81861,0.005644,0.005644,0.005644
134,12596.1,0.58533,0.31572,0.85293,0.92177,0.83416,0.88734,0.67655,0.4641,0.26309,0.81857,0.005611,0.005611,0.005611
135,12692.3,0.58331,0.31411,0.85244,0.9246,0.83313,0.88782,0.67656,0.4638,0.26294,0.81849,0.005578,0.005578,0.005578
136,12788.2,0.58449,0.31465,0.85203,0.93027,0.83271,0.88828,0.67712,0.46358,0.2625,0.81843,0.005545,0.005545,0.005545
137,12884,0.5792,0.31238,0.85178,0.93029,0.83241,0.88904,0.67711,0.46335,0.26246,0.81836,0.005512,0.005512,0.005512
138,12979.9,0.57924,0.31269,0.8517,0.93319,0.83229,0.88956,0.67765,0.46301,0.26239,0.81829,0.005479,0.005479,0.005479
139,13075.7,0.57878,0.31193,0.85139,0.93719,0.83082,0.88998,0.67848,0.46283,0.2622,0.81822,0.005446,0.005446,0.005446
140,13172,0.57774,0.31117,0.85092,0.93768,0.83036,0.89022,0.67864,0.46253,0.26202,0.81816,0.005413,0.005413,0.005413
141,13267.8,0.57372,0.30924,0.8503,0.93516,0.83081,0.89059,0.67896,0.46221,0.26185,0.81809,0.00538,0.00538,0.00538
142,13363.7,0.57335,0.30967,0.84984,0.93567,0.83049,0.89086,0.67898,0.46196,0.26153,0.81802,0.005347,0.005347,0.005347
143,13459.7,0.57283,0.30979,0.84946,0.93318,0.83074,0.88896,0.67889,0.46162,0.26133,0.81794,0.005314,0.005314,0.005314
144,13555.3,0.57271,0.30931,0.85,0.93355,0.83179,0.8915,0.68017,0.4613,0.26109,0.81787,0.005281,0.005281,0.005281
145,13651.2,0.57004,0.30863,0.84943,0.93161,0.83169,0.89151,0.68049,0.46105,0.26094,0.8178,0.005248,0.005248,0.005248
146,13747.8,0.57102,0.30765,0.84867,0.93623,0.83027,0.8915,0.68041,0.46064,0.26046,0.81774,0.005215,0.005215,0.005215
147,13842.9,0.56915,0.30776,0.84823,0.93267,0.83217,0.89164,0.68082,0.46042,0.26054,0.81767,0.005182,0.005182,0.005182
148,13938.5,0.57077,0.30773,0.84901,0.9359,0.83073,0.89187,0.68079,0.46003,0.26031,0.81758,0.005149,0.005149,0.005149
149,14034,0.56778,0.30684,0.84764,0.93088,0.83206,0.89216,0.68156,0.45967,0.26023,0.81749,0.005116,0.005116,0.005116
150,14130.1,0.56512,0.30538,0.84787,0.93158,0.83248,0.89273,0.68212,0.45938,0.26027,0.81742,0.005083,0.005083,0.005083
151,14226.2,0.5657,0.30549,0.8485,0.93206,0.83053,0.8932,0.68265,0.45902,0.25999,0.81736,0.00505,0.00505,0.00505
152,14322.1,0.56479,0.30499,0.84866,0.93122,0.8301,0.89196,0.68239,0.45869,0.25978,0.81729,0.005017,0.005017,0.005017
153,14417.5,0.56465,0.30449,0.84856,0.93065,0.83366,0.89227,0.68233,0.45834,0.25978,0.8172,0.004984,0.004984,0.004984
154,14512.7,0.56188,0.30416,0.84646,0.93092,0.83293,0.89222,0.68262,0.45801,0.25966,0.81712,0.004951,0.004951,0.004951
155,14608,0.56065,0.30243,0.84581,0.93265,0.83314,0.89369,0.68329,0.45772,0.25946,0.81703,0.004918,0.004918,0.004918
156,14703.8,0.56072,0.3032,0.84719,0.93428,0.83438,0.89394,0.68335,0.45739,0.25906,0.81696,0.004885,0.004885,0.004885
157,14799.4,0.56104,0.30379,0.84778,0.93069,0.83598,0.89389,0.68328,0.45711,0.25888,0.8169,0.004852,0.004852,0.004852
158,14894.8,0.56081,0.30433,0.84614,0.92813,0.83604,0.89306,0.68374,0.45672,0.25891,0.81682,0.004819,0.004819,0.004819
159,14990.6,0.56004,0.30382,0.84569,0.92934,0.83541,0.89358,0.68406,0.45643,0.25867,0.81674,0.004786,0.004786,0.004786
160,15086.4,0.55903,0.30347,0.84576,0.9268,0.83552,0.89357,0.68482,0.45607,0.25822,0.81668,0.004753,0.004753,0.004753
161,15182,0.5591,0.30288,0.8453,0.92509,0.836,0.89431,0.68485,0.45569,0.25805,0.81659,0.00472,0.00472,0.00472
162,15277.8,0.56045,0.30466,0.84499,0.92634,0.83602,0.89445,0.68523,0.45546,0.25814,0.8165,0.004687,0.004687,0.004687
163,15373.6,0.56024,0.30444,0.8457,0.92858,0.83559,0.89463,0.68559,0.45497,0.25785,0.81641,0.004654,0.004654,0.004654
164,15469.5,0.56165,0.30687,0.84505,0.92905,0.83598,0.89473,0.68586,0.45464,0.25746,0.81635,0.004621,0.004621,0.004621
165,15565.3,0.56012,0.3099,0.84415,0.92752,0.83596,0.89508,0.68607,0.45426,0.25735,0.81624,0.004588,0.004588,0.004588
166,15660.9,0.5644,0.31304,0.8449,0.92719,0.83631,0.89575,0.68685,0.45384,0.25735,0.81615,0.004555,0.004555,0.004555
167,15756.4,0.5664,0.31429,0.84444,0.92748,0.83714,0.89588,0.68694,0.4533,0.25715,0.81607,0.004522,0.004522,0.004522
168,15852.2,0.561,0.31304,0.84405,0.92817,0.83685,0.89593,0.68756,0.45294,0.25695,0.81598,0.004489,0.004489,0.004489
169,15948,0.56275,0.3147,0.84334,0.92879,0.83701,0.8966,0.68839,0.45254,0.25686,0.8159,0.004456,0.004456,0.004456
170,16044.1,0.55993,0.31314,0.84418,0.92886,0.83467,0.89617,0.68857,0.4522,0.25665,0.8158,0.004423,0.004423,0.004423
171,16140.2,0.56199,0.31471,0.84191,0.92867,0.83452,0.89609,0.68862,0.45189,0.25647,0.81573,0.00439,0.00439,0.00439
172,16236.1,0.55957,0.31312,0.84167,0.92688,0.83656,0.89599,0.68908,0.45158,0.25633,0.81568,0.004357,0.004357,0.004357
173,16332.1,0.55935,0.31259,0.84094,0.92749,0.83701,0.89696,0.68951,0.45134,0.25622,0.81563,0.004324,0.004324,0.004324
174,16428.1,0.55658,0.31143,0.84086,0.92812,0.83787,0.89712,0.68988,0.4511,0.25637,0.81556,0.004291,0.004291,0.004291
175,16524,0.55721,0.31201,0.84153,0.92871,0.8367,0.89835,0.69027,0.45075,0.25625,0.81552,0.004258,0.004258,0.004258
176,16619.9,0.55694,0.3115,0.84075,0.92875,0.83683,0.8985,0.69072,0.45039,0.25615,0.81546,0.004225,0.004225,0.004225
177,16715.7,0.55373,0.3106,0.83951,0.92822,0.83934,0.89955,0.69158,0.45013,0.256,0.81541,0.004192,0.004192,0.004192
178,16811.7,0.55536,0.31079,0.84004,0.92679,0.83991,0.89876,0.69176,0.44973,0.25588,0.81534,0.004159,0.004159,0.004159
179,16907.7,0.55339,0.30953,0.83897,0.92805,0.83948,0.89892,0.6921,0.44927,0.25567,0.81529,0.004126,0.004126,0.004126
180,17003.7,0.552,0.30918,0.83896,0.92748,0.839,0.89962,0.69266,0.44889,0.25556,0.81521,0.004093,0.004093,0.004093
181,17099.8,0.55293,0.30892,0.83929,0.92909,0.83854,0.90031,0.69297,0.4485,0.25531,0.81513,0.00406,0.00406,0.00406
182,17196,0.55044,0.30802,0.83845,0.92899,0.83857,0.90081,0.69339,0.44824,0.2554,0.81507,0.004027,0.004027,0.004027
183,17291.8,0.55086,0.30768,0.83933,0.92775,0.83878,0.90087,0.69328,0.44794,0.25533,0.81503,0.003994,0.003994,0.003994
184,17387.4,0.55017,0.30723,0.83878,0.92742,0.8391,0.90064,0.69339,0.44758,0.25524,0.81498,0.003961,0.003961,0.003961
185,17482.8,0.55068,0.30678,0.83927,0.91736,0.84437,0.90028,0.69316,0.44735,0.25528,0.81495,0.003928,0.003928,0.003928
186,17577.8,0.54683,0.30541,0.83791,0.91124,0.84736,0.90073,0.69327,0.44709,0.25517,0.81491,0.003895,0.003895,0.003895
187,17673,0.54668,0.30555,0.8387,0.91305,0.84885,0.90136,0.69451,0.44673,0.25513,0.81486,0.003862,0.003862,0.003862
188,17769,0.54663,0.30481,0.83894,0.90812,0.85008,0.9017,0.69511,0.44615,0.25508,0.81479,0.003829,0.003829,0.003829
